Question,Answer,Class
Quelles sont les principaux avantages du Modem FUNBOX ORANGE ?,"Ci-dessous les avantages du modem Funbox Orange:
-Rapidité de la connexion sans fil grâce au Wifi N
-Easy pairing: Permet d'associer des terminaux WiFi sans avoir de saisie à faire 
- Compatibilité avec les serveurs Multimedia
- 2 ports  téléphoniques RJ 11 pour la Voix sur IP (VOIP)
- 4 ports Ethernet dont un port dédié à la TV
- 1 port DSL pour la connexion ADSL
- 1 port USB pour connecter un périphérique de stockage et le partager sur le réseau domestique 
- Une interface d’administration du modem simple pour paramétrer et personnaliser
- Fonction eco-friendly : mise en veille automatique si aucun trafic n’est détecté",Internet et fixe
Pourquoi je n’ai pas les chaines nouvelles chaines du bouquet Evasion + ?,"Ces chaines seront bientôt intégrées dans le plan de service de la TV d’Orange, nous nous excusons de ne pouvoir vous les offrir dès maintenant.",TV d'orange et contenus
Comment créer un compte Orange Money ?,"Vous pouvez vous rapprocher d’une agence ou boutique Orange muni de votre pièce d’identité pour remplir et signer le formulaire de souscription.
C’est gratuit.",Orange Money
Quels sont les pass internet que nous pouvons acheter avec le KEURGUI BOX?,"Nous vous proposons une gamme de Pass dédiée et moins chère via le site www.passorange.sn :
1Go à 1 000F TTC,
2,5Go à 2 500F TTC,
12Go à 10 000F TTC,
30Go à 20 000F TTC,
50Go à 30 000F TTC.",Offres mobiles
"J’achetais des pass internet, est-ce qu’ils ont changé avec les nouveaux formules?","Les pass internet restent disponibles sur l’appli Orange et moi, au #1234# et sur passorange.sn. L’offre n’a pas changé.",Offres mobiles
Comment souscrire au sos crédit ?,"Vous pouvez y souscrire via ces codes: *77*montant# ou le *770*montant#
Pour emprunter 100f il faut avoir rechargé au moins 100f le mois précédent le prêt. 
Pour emprunter 250f il faut avoir rechargé au moins 250f le mois précédent le prêt. 
Pour emprunter 500f il faut avoir rechargé au moins 500f le mois précédent le prêt. 
Pour emprunter 1000f et 2000f il faut avoir rechargé au moins 5000f le mois précédent le prêt.",Offres mobiles
"En effectuant un transfert d'argent via orange Money, je me suis trompé de numéro. Que faire?","Pas de panique, si le destinataire ne dispose pas d'un compte Orange Money, il suffira juste d'attendre 48 heures pour que l'argent revienne dans votre compte. Si par contre, le destinataire a un compte Orange Money, il faudra vous rendre en agence, muni de votre pièce d'identité si vous êtes de nationalité sénégalaise ou de votre passeport dans le cas échéant et y remplir un formulaire de remboursement.",Orange Money
Y'a-t-il des frais pour payer les factures SONATEL ET CANAL via Orange Money?,Aucun frais n’est supporté par le client pour le paiement des factures SONATEL et Canal par Orange Money.,Orange Money
"Je suis déjà client sur l’offre ADSL Home+, quelle offre Fibre me recommandez-vous ?","Nous vous conseillons l’offre Home Fibre qui va vous permettre d’avoir un accès très performant et constant/stable dont le débit réception est de 30 Mbit/s. Vous aurez aussi tous les avantages de téléphonie que vous avez actuellement sur votre ligne Home:
>crédit téléphone de 20 000 FR TTC
>illimité vers tous les fixes 24/24 et 7/7
>illimité vers 2 numéros mobiles.
Vous conserverez aussi votre option TV d’orange gratuitement. Votre téléphonie se fera par la voix sur IP.",Internet et fixe
Vous avez annoncé 4 Méga alors que j’ai toujours 2méga sur mon abonnement Home?,"Sur l'ADSL, les débits maximums sont atteints lorsque vous êtes dans certaines conditions comme la
distance par rapport à la centrale Sonatel ou la qualité de votre ligne.
Selon les conditions, vous pouvez avoir un débit de connexion pouvant aller jusqu’à 4Mégabit/s sur Home ou jusqu’à 10 Mégabit/s sur Home Plus.",Internet et fixe
Quels sont les illimix pour le nouveau profil Jamono MAX?,Ci-dessous les nouveaux illimix dédiés à ce profil et les avantages qui vont avec:,Offres mobiles
Comment consulter le détails des consommations par téléphone ?,"1°) Accédez au serveur
2°) Appuyez ensuite sur 1 pour consulter votre consommation du mois indiqué.
3°) Appuyez finalement sur 1 pour obtenir le détail des consommations au téléphone.
 Le serveur vous lit le détail de votre consommation du mois que vous avez choisi.",Internet mobile
J’ai entendu parler des offres KeurguiBOX ORANGE de quoi s’agit t-il ?,"La KeurguiBOX ORANGE est une offre résidentielle qui vous permet d’avoir une connexion wifi en haut débit avec le réseau mobile 3G/4G et d’émettre des appels comme sur le fixe.
Nous avons 3 offres KeurguiBOX :
Un forfait KeurguiBOX de 25Go à 14 900F TTC/mois,
Un forfait KeurguiBOX de 50Go à 24 900F TTC/mois,
Une offre KeurguiBOX classique avec 30Go de bienvenue à 35 000F TTC avec un « Satisfait ou Remboursé »
NB : l’offre est soumise à une condition d’éligibilité de votre zone d’habitation, l’étude sera faite en agence avant la vente.",Internet et fixe
"Je suis distributeur Orange Money,comment le client peut-il connaitre les frais à supporter pour payer sa facture?",Des affiches avec les tarifs seront déployés au niveau des points Orange Money.,Orange Money
Où puis-je trouver les informations sur les nouveaux profils? Comment changer de profil?,"Pour cela, vous pouvez utiliser : 
>L’appli Orange et Moi : information sur les formules et changement de formule 
>#605# : information sur les formules et changement de formule 
>TannSaJAmono.sn : information sur les formules (Cette plateforme permet de changer de formule Jamono lorsqu’on se connecte à partir d’un terminal Android. Le changement n’est pas possible sur IOS ).
Il y aura 3 rubriques à sa disposition. 
1.Connaître sa formule 
2.Connaître les autres formules 
3.Changer de formule.           
                                                                                                                                                                                                                                Vous pouvez changer de formule à tout moment. Chaque année, il peut changer 2 fois de formule gratuitement. Les autres changements sont facturés à 1000F/modification.",Offres mobiles
Puis-je souscrire aux Pass durée via le menu #1234#?,Tout à fait. Il est désormais possible d’accéder aux Pass durée jour et semaine sur le menu d’achat de Pass.,Internet mobile
Comment activer le traçage mobile sur son téléphone Samsung ?,"Pour utiliser le service Localiser votre appareil pour la première fois, vous devez enregistrer votre compte Samsung sur votre appareil et activer l'option [Contrôle à distance].
Lorsque votre compte Samsung est enregistré, l'option [Contrôle à distance] est automatiquement activée.
Accédez à [Paramètres] > [Sécurité] > [Localiser mon appareil] > [Contrôle à distance] et vérifiez que l'option [Contrôle à distance] est activée.
* Le service Localiser mon appareil vous permet d'accéder à distance aux fonctions de votre appareil via le site Web. Pour utiliser ce service, l'option [Contrôle à distance] doit être activée sur votre appareil.
* Pour suivre la position de votre appareil, vous devez accepter les Conditions générales d'utilisation des réseaux sans fil (Services de localisation de Google) qui nécessitent une connexion au Wi-Fi et/ou aux réseaux mobiles.
* Notez que les conditions suivantes doivent être respectées pour pouvoir utiliser le service Localiser mon appareil :
1. L'appareil doit être allumé.
2. L'appareil doit être connecté à un réseau.
3. Vous devez être connecté à votre compte Samsung (ou connecté à votre compte Google si vous êtes sous Android 4.3 Jelly Bean ou une version antérieure).",Terminaux et applications
Est-ce qu’un bonus crédit est offert à la suite d’une opération de Transfert Avec Code Orange Money ?,"Oui, un bonus crédit téléphonique est offert. Et jusqu’au 30 Juin, un bonus crédit spécial de 100% plafonné à 10.000fr est offert à l’expéditeur.",Orange Money
Comment je fais pour récupérer mes contacts suite à une sauvegarde répertoire Orange ?,"Pour récupérer les contacts sauvegardés, il faut envoyer « recup » au 22022(coût du sms 20F) ou aller sur le menu sauvegarde contacts sim puis cliquer sur restaurer. La récupération est gratuite.",Offres mobiles
Je voudrai avoir des renseignements sur votre offre ADSL KEURGUI et les modalités de souscription.,"Le pack KEURGUI c'est : 
>Une connexion plus fluide avec en haut débit ADSL  (1 méga) illimitée avec seulement une redevance mensuelle de 12.900frs, 
>1 Modem Wifi, 
>1 Forfait crédit 6195F TTC, 
>1 Numéro illimité fixe.
Les frais d'accès s'élèvent à 25.000fr.
Pour souscrire, il faut vous rapprocher d'une de nos agences muni de votre pièce d'identité et du numéro de téléphone fixe d'un de vos voisins proches.
Nos agences sont ouvertes du lundi au vendredi de 07H30 à 16H45 avec une pause de 13H30 à 15H uniquement les vendredis. 
Elles sont aussi ouvertes les samedis de 9H à midi à DAKAR.",Internet et fixe
Combien coûte une opération de transfert de mon Compte Orange Money vers mon compte bancaire Ecobank?,"Une facturation par palier, suivant le montant à transférer, est appliquée pour le transfert de votre compte Orange Money vers votre compte Ecobank.
Ci-dessous les tarifs par paliers :
N°------------Paliers-------------------Frais W2B 
1-------------1 à 5000-----------------200 
2-------------5005 à 20000------------600 
3-------------20005 à 100000---------1000 
4-------------100005 à 400000--------3000 
5-------------400005 à 1500000-------7500",Orange Money
J'ai entendu parler de votre modem 4G domino. Comment ça marche?,"Le Modem Domino coûte 31.000fr et voici ses caractéristiques : 
- 15 appareils peuvent se connecter en même temps 
- micro sim 
- espace de stockage : 2Go 
- connectivité 3G+/3G/4G 
- slot Micro SD (jusqu'à 32 Go) 
- bouton de mise sous tension Batterie : 1800 mAh 
- mémoire interne 512 MB 
- ¨port micro SD pouvant supporter jusqu’à 32Go 
- 4G : FDD-LTE: 800/900/1800/2100/2600 MHz 
- 3G : UMTS:900/1800/2100 MHz 
Une fois que tu l'achètes, un pass internet 10Go valable 1 mois est offert sur la sim vendue en option à 1000F. 
A l'épuisement de ce pass offert, tu pourras recharger du crédit sur la puce qui va avec le modem et acheter un pass internet pour continuer à te connecter.",Terminaux et applications
Est-ce possible de souscrire à un Pass Mois via le #1234#?,Tout à fait. Les Pass mois sont disponibles à la Rubrique « Achat Pass Mois » sur la rubrique « Achat Pass » du menu #1234#.,Internet mobile
Comment faire pour augmenter mon seuil de transactions plafonné à 200.000fr?,"Il vous suffit de vous rendre en agence Sonatel, Orange Boutiques et Kiosques Orange Money pour remettre une copie de votre pièce d’identité et signer un contrat. La modification est effective au bout de 72h ouvrées. Vous pourrez ainsi disposer d’un compte permettant des transactions jusqu’à 1500000F/opération et /jour, 3000000/semaine et 5000000F/mois.",Offres mobiles
Comment faire pour désimlocker ou débloquer mon iPhone?,"Ci-dessous les informations à fournir et les conditions à remplir :
1. 1 an d’ancienneté 
2. Facture ou bordereau de livraison
3. Demande de desimlockage avec le numéro IMEI de l’appareil clairement mentionné 
4. Pièce d’identité ou passeport 
Vous pouvez nous transmettre ces informations sur cette adresse : serviceclient@orange-sonatel.com .",Offres mobiles
"J’ai entendu parler de Orange Edu, de quoi s’agit-il?",,Internet mobile
Combien coûte le modem FUNBOX Orange?,"Le modem FUNBOX Orange est intégré gratuitement à nos offres ADSL WIFI. 
Pour avoir plus d'informations, rendez-vous sur www.home.sn.",Internet et fixe
Puis-je cumuler différents Pass pour obtenir davantage de minutes ou de volume?,"NON, les Pass ne sont pas cumulables. Il faut l’épuisement du pass acheté pour souscrire à un autre.",Offres mobiles
Est ce que je reçois un reçu après le paiement de mes factures par un distributeur Orange Money?,"Oui si vous communiquez un numéro de téléphone (même Tigo ou Expresso), vous recevrez un sms de notification à la fin de l’opération du distributeur (même en cas d’échec, vous serez notifiés).",Orange Money
Comment diminuer la consommation de data sur WhatsApp?,"La communication par texte ne consomme que très peu de data mais lors des appels ou lors d'envois de photos ou vidéos, votre forfait peut vite se retrouver vidé. Rassurez-vous, vous pouvez limiter ce chiffre en activant l’option “Utilisation réduite des données”.
Entrez dans les paramètres puis dans l’onglet “Utilisation de données”. En bas, vous cocherez “Utilisation réduite des données”.",Terminaux et applications
"A l’échéance, que se passe t-il si le paiement de la facture n’est pas effectué ?","Si le paiement de la facture n’est pas effectué au-delà du 27, le forfait ne sera pas positionné. Vous serez restreint en émission d’appels le 1er, puis en émission et réception d’appels le 5 si le paiement n’est toujours pas effectué. Vous risquez une migration vers Orange Prépayé ou une résiliation de ligne si aucun paiement n’est constaté jusqu’au 15 du mois.",Offres mobiles
Un bonus crédit téléphonique est–il offert suite à un achat de pass via Orange Money?,Vous n’aurez pas de bonus crédit téléphonique offert. Par contre un  bonus de 50% sur le volume du pass vous sera positionné.,Orange Money
Quelle est la différence entre le débit et le volume?,"Le débit donne l’information sur le nombre d’octets qui peuvent être transportés pendant une seconde dans un fil  de cuivre, câble, fibre optique etc. – ou au moyen d’ondes radioélectriques. Il est ainsi lié à la vitesse à laquelle nous échangeons des données. Mais attention, il ne s’exprime pas directement en utilisant l’unité d’octets.
Les débits ne sont pas exprimés en utilisant l’octet mais le bit qui  est 8 fois plus petit. Ainsi 8 Mb/s signifie 8 mégabits par seconde ou 1 Mo par seconde ou encore un million d’octets par seconde. Avec ce débit, il faut donc 700 secondes – un peu moins de 12 minutes – pour transporter une vidéo de 700 Mo. De nombreuse écritures sont utilisées pour les indiquer les débits : 8 Mbps, 20 Méga, 256 kb/s etc",Internet mobile
"J’ai entendu parler de Seddo Pass Internet, qu’est ce que c’est ?",Le Seddo Pass Internet est un service qui permet à un client IEW de pouvoir partager vers d’autres numéros prépayés une partie du volume de son Pass internet en cours de validité.,Internet mobile
Comment consulter le solde de mon compte rechargement et ceux des autres comptes?,"Pour consulter le solde de vos différents compteurs, il suffit de composer le #123#. Vous verrez alors le solde de votre compteur rechargement.
Pour avoir le solde des autres compteurs ( Bonus toute destination, bonus orange etc…), il faut taper 0 pour voir les détails et choisir l'option qui correspond au compteur de votre choix.",Offres mobiles
Comment afficher l’activité récente des personnes que vous suivez sur Instagram?,"Au bas de l’écran, appuyez sur l’icône représentée par un cœur. C’est à cet endroit que vous trouvez l’activité des personnes qui ont aimé ou commenté vos photos. Ensuite, dans la partie supérieure de l’écran, choisissez l’onglet qui se nomme « Abos » (abonnés).",Terminaux et applications
Existe-t-il un plafond pour un transfert avec code Orange money ?,"Oui, il existe un plafond de 200.000Fr pour chaque envoi.",Orange Money
Je constate que mon forfait KEURGUI BOX fini vite. Pouvez-vous m’expliquer?,,Internet et fixe
Comment savoir qui a lu les messages des groupes WhatsApp sur iPhone?,"Étape 1 : Ouvrez votre application WhatsApp sur votre appareil iOS.
Étape 2 : Tapotez sur n'importe quel groupe dans lequel vous êtes actuellement actif et envoyez un message. Vous pouvez également chercher un ancien message que vous avez envoyé dans ce groupe.
Étape 3 : Faites glisser votre doigt de droite à gauche sur le message envoyé.
Étape 4 : Vous aurez un nouvel écran appelé “Infos du message”.
Étape 5 : Là, vous pourrez voir les personnes qui ont lu votre message.",Terminaux et applications
Comment je me désabonne du service Mon statut ?,Il suffit de taper #350# puis choisir l’option 4 « je me désabonne ». Vous recevrez ensuite un message de confirmation de votre demande.,Offres mobiles
Quels sont les papiers à fournir pour souscrire à un abonnement fixe ou ADSL chez vous?,"Ci-dessous les informations et documents à fournir en agence pour souscrire à un abonnement fixe ou ADSL chez nous : 
1. Votre carte d'identité si vous êtes de nationalité sénégalaise ou votre passeport dans le cas échéant
2. Votre adresse exacte, deux contacts mobiles sur lesquels nous pourrons vous joindre et votre adresse mail
3.Le numéro fixe du voisin le plus proche. Si vous n'êtes pas disponible, vous pouvez envoyer quelqu'un de confiance mais en plus de ces documents, il faudra lui remettre une procuration en bonne et due forme. Le mandataire devra également se munir de sa pièce d'identité.",Internet et fixe
Configurer l'internet mobile sur son téléphone android?,"1- Aller dans Paramètres  
2- Aller à Réseaux Mobiles (Parfois Cliquer sur Plus)
3- Aller à Nom des Points d’accès
4- Cliquer sur Nouvel APN
5- Nom : mettre orange 
    Nom du point d’accès :mettre internet
6-  Enregistrer",Terminaux et applications
Qui contacter en cas de réclamations les revendeurs itinérants Orange Money?,Le numéro de service client ne change pas: 1441 et votre réclamation sera bien prise en charge.,Orange Money
Combien coûte un retrait Orange Money ?,,Orange Money
Est-il possible de partager ma connexion internet depuis mon iPhone avec le réseau Orange?,"La fonction ""partage de connexion"" permet de partager la connexion internet de votre iPhone sous iOS 9 avec un ordinateur, un iPad ou tout autre appareil connecté en wifi.
Les équipements se connectent à internet grâce à la connexion réseau de votre iPhone. 
Le partage de connexion peut se faire de deux manières : 
1)Partage de connexion en USB
2)Partage de connexion en wifi et bluetooth
Voici la marche à suivre pour activer et désactiver ce service.
Avant toute chose, il faut activer les données mobiles.
1) Partage de connexion en USB
>Sélectionner Réglages
>Sélectionner Partage de connexion
>Activer le partage de connexion 
  Faîtes glisser le curseur ""Partage de connexion"" vers la droite.
>Sélectionner le mode de connexion
   Vous pouvez utiliser le partage de connexion de l'iPhone et permettre son utilisation avec les modes       de connexion : Bluetooth, Wi-Fi et USB
Sélectionnez ""USB uniquement"".
>Établir la connexion avec l'ordinateur 
  Pour utiliser le partage de connexion en USB :
Branchez l'iPhone à l'ordinateur.
Vérifiez l'état Connecté dans la barre des tâches des connexions réseau de l'ordinateur (en bas à droite de l'écran).
>Le partage de connexion est activé
Lorsque le partage de connexion de l'iPhone est utilisé par un équipement, une barre bleue s'affiche en haut de l'écran précisant le nombre de connexion au mobile.
2) Partage de connexion en WIFI et bluetooth
>Sélectionner Réglages
>Sélectionner Partage de connexion
>Activer le partage de connexion
   Faîtes glisser le curseur ""Partage de connexion"" vers la droite.
>Sélectionner le mode de connexion
   Vous pouvez utiliser le partage de connexion de l'iPhone et permettre son utilisation avec les modes de connexion : Bluetooth, Wi-Fi et USB
Sélectionnez ""Activer Wi-Fi et Bluetooth"".
>Connecter l'ordinateur à l'iPhone
   Dans l'onglet Paramètres réseau, cliquez sur le réseau wifi correspondant à votre iPhone.
>Sélectionner le réseau wifi
   Dans le menu RÉSEAU ET INTERNET, sélectionnez votre iPhone.
>Cliquer sur Se connecter
>Saisir le mot de passe wifi
   Entrez le mot de passe wifi de votre iPhone.
   Cliquez sur Suivant.
   Remarque : le code wifi se trouve dans le menu Partage de connexion, sur la ligne Mot de passe Wi-Fi.
>Choisir la détection du réseau
  Cliquez sur Oui.
>Connexion établie
   Votre ordinateur établit la connexion avec votre iPhone. Vous avez accès à internet en utilisant le  partage de connexion de l'iPhone.
Ouvrez votre navigateur internet pour pouvoir naviguer depuis votre ordinateur.
- Désactiver le partage de connexion
Pour désactiver la fonction sur l'iPhone, glissez le curseur vers la gauche.
Le partage de connexion est désactivé.",Entre nous
Configurer l'internet mobile sur Windows Phone?,"""1- Aller au niveau des Paramètres
2- Cliquer sur réseau cellulaire
3- cliquer sur l'option Connexion de données et 'activer
4-Aller à Point d’accès
5- Cliquer sur le bouton + pour ajouter un nouvel APN
Nom du point d'acces : internet
nom d'utilisateur : orange
mot de passe : internet
7- enregistrer""",Terminaux et applications
"Il parait que vous avez une nouvelle gamme de pass internet mobile, de quoi s’agit-il? Qu’est ce qui change?","A partir du 16 janvier 2018, vous pourrez profiter d’une nouvelle gamme de pass avec:
−Plus de volume dans les pass Internet jour et semaine au même prix
−Le prix du pass 1Go qui baisse et passe de 2500F à 2000F
−En plus, vous bénéficiez du report de volume non consommé pour les pass 7Go, 15Go et 25Go",Internet mobile
Qui peut utiliser le service transfert avec code Orange Money ?,"Tous les clients Orange ayant un compte Orange Money ou non, les clients de la concurrence et même ceux qui ne disposent pas de téléphone portable peuvent recevoir un transfert. 
Par contre il faut avoir un compte Orange Money actif pour pouvoir envoyer de l’argent.",Orange Money
Est-ce qu’on peut cumuler ses achats de pass via Orange Money?,Oui les achats sont cumulables (et la date la plus avantageuse est considérée pour la date d’expiration).,Orange Money
Comment consulter mes factures à partir du SVI ( serveur à valeur intégré) ?,Pour votre tout premier accès vous devez utiliser la ligne fixe dont vous souhaitez consulter la facture. Il vous faudra créer obligatoirement un code secret confidentiel pour pourvoir utiliser le service.,Internet et fixe
Quelles sont les factures que les distributeurs orange money peuvent payer?,"Les distributeurs pourront payer les factures : 
1. SONATEL( Fixe, Internet)
2. TERANGA
3. SENELEC
4. SDE 
Nb: 
- Le distributeur ne peut pas payer de réabonnement CANAL+ ou de recharge RAPIDO et WOYOFAL
  - Seules les factures SONATEL peuvent être payées au niveau des agences SONATEL",Orange Money
A quoi sert l'application Group Play sur mon Smartphone Samsung ?,"Group Play est un service permettant d’accéder en temps réel à des contenus et des applis. Vous pouvez partager des contenus et des applis avec des amis à proximité via le point d’accès (PA) mobile intégré de l’appareil. 
Actuellement, tous les appareils Samsung Galaxy sont compatibles avec Group Play. C'est une belle surprise non!? :D",Terminaux et applications
"J’ai entendu parler de changement sur les bouquets Canal, de quoi s’agit-il?","Depuis le 21 juillet 2017, de nouvelles chaines sont rajoutées au bouquet Evasion + et 
l’offre Tout Canal est renforcée avec le service myCanal qui est désormais accessible sur 3 appareils en simultané au lieu d’un seul, un abonnement IROKO+ offert tout au long de l’engagement au même tarif de 40.000Fr.",TV d'orange et contenus
Ma montre connectée android ne s'allume pas. Que faire ?,"Si votre montre ne s'allume pas, il est possible qu'elle ne se recharge pas correctement. Voici quelques conseils pour résoudre le problème.
1. Examinez les éléments matériels de votre montre.
• Veillez à bien utiliser le câble de chargement, l'adaptateur et la station de charge d'origine. L'utilisation d'un câble ou adaptateur différent peut endommager votre montre.
• Assurez-vous que vous avez retiré tous les emballages plastiques de votre montre.
• Vérifiez que les broches de chargement de la station et de la montre sont propres. Vous pouvez les essuyer avec un chiffon doux légèrement humide.
• Assurez-vous que les broches de chargement ne sont pas déformées.
• Vérifiez s'il y a de la poussière dans le port micro USB. Soufflez délicatement sur le port pour enlever toute trace de poussière.
2. Essayez d'allumer votre montre lorsqu'elle branchée à l'adaptateur.
• Laissez votre montre en charge pendant 15 minutes, puis essayez de l’allumer
3. Essayez d'utiliser une autre prise électrique, puis répétez l'étape 2.",Entre nous
"Je suis intéressé par vote offre, comment se déroulera l’installation de la Fibre optique à mon domicile ?","Vous avez manifesté votre intérêt pour la Fibre Optique d’Orange ?  
Les différentes étapes avant l’installation de la fibre sont les suivantes : 
1. Un technicien se rend à votre domicile afin de procéder à des tests d’éligibilité 
2. En cas d’éligibilité  vous  payez les frais d’installation (vous pouvez vérifier votre éligibilité sur 
3. Une première équipe technique s’assure de raccorder votre domicile au réseau fibre.
4. Une fois votre domicile raccordé à la fibre optique, une deuxième équipe se rend à votre domicile pour installer votre modem Fibre.
5. Vous pouvez commencer votre nouvelle vie digitale avec la Fibre d’Orange.",Internet et fixe
"Je suis déjà client ADSL 10 Mega max (BIO ou BIV) , quelle offre Fibre me recommandez-vous?","Nous vous conseillons l’offre Fibre Office Intense qui va vous permettre d’avoir un accès très performant et
stable dont le débit à la réception qui est de 100 Mbit/s.
Vous aurez aussi tous les avantages de téléphonie que vous avez actuellement sur votre ligne Business Internet :
>crédit téléphone de 15 000 FTTC
>illimité vers 5 numéros fixes 24/24 et 7/7
>illimité vers 2 numéro mobile.",Internet et fixe
"J’ai un numéro Orange, pourquoi je n’ai pas accès aux pass internet à 50fr et 200Fr comme le clients Kirène?","Effectivement, ces deux pass sont dédiés aux clients Kirène avec Orange, mais nous vous avons réservé une belle gamme de pass qui vous permet d’avoir plus de volume à partir de 250 F. Mais nous prenons en compte votre demande.
Et n’oubliez pas, avec le programme de fidélité Orange Sargal, à chaque fois que vous rechargez du crédit, vous gagnez des points que vous pouvez convertir en pass internet à partir de 50 points.",Internet mobile
Comment changer de numéro de téléphone sur WhatsApp ?,"Votre compte WhatsApp est associé à un numéro. Si vous changez de numéro mais désirez quand même garder votre compte WhatsApp tel qu’il est, il vous faut tout simplement informer à WhatsApp que vous avez un nouveau numéro.
Pour ce faire, entrez dans tout simplement dans les options (les 3 points en haut à droite), puis dans “Mon Compte” et bien évidemment dans “Changer numéro”. Appuyez sur “Suivant” en haut à droite, entrez votre ancien numéro dans la première ligne, le nouveau dans la deuxième puis validez en cliquant sur “Terminé” en haut à droite.",Terminaux et applications
Qu'est-ce que Orange Money? A quoi ça sert?,"Orange Money est un moyen de paiement innovant, sécurisé et rapide par téléphone mobile qui permet aux clients de faire les opérations suivantes: 
dépôt et retrait d’argent 
transfert d’argent de particulier à particulier 
paiement de facture: (eau, électricité, excaf, nsia, téléphone) 
achat de crédit téléphonique Orange 
Paiement de bien et services 
Vous pouvez en savoir plus si vous cliquez sur ce lien https://www.orange.sn/2/particuliers/1/26/presentation-26...",Orange Money
Comment consulter ma messagerie depuis l'étranger ? Cela va-t-il me coûter plus cher ?,"Depuis la plupart des pays , il suffit de composer le 602 comme au Sénégal. Si le 602 ne fonctionne pas vous pouvez composer le +221776380000 et suivre les instructions du serveur vocal. L’appel vers la messagerie vocale est facturé comme un appel vers le Sénégal.",Offres mobiles
"J’ai entendu parler de la possibilité de payer avec Orange Money dans les boutiques en ligne, partenaires de Paydunya?","A partir du 23 Janvier 2017 tous les clients Orange inscrits à Orange Money pourront acheter des biens et services dans les boutiques en ligne, partenaires de Paydunya et payer avec leur Kalpé sans frais supplémentaires sur le site www.paydunya.com .",Orange Money
Comment modifier mon code sur le SVI ?,"Pour cela, appelez le serveur et appuyez sur la touche 4 pour les options personnelles puis sur la touche 1 pour la modification du code secret.",Internet et fixe
Quels sont les illimix pour le nouveau profil Jamono New S'cool?,Ci-dessous les nouveaux illimix et les avantages :,Offres mobiles
Il parait qu’il est possible d’effectuer des transfert d’argent entre le Kalpé Orange Money et compte bancaire Ecobank?,"Effectivement, désormais vous pouvez faire des transferts d’argent, à partir de votre compte bancaire Ecobank vers votre Kalpé Orange Money et vice versa, c’est-à-dire un transfert de votre compte Orange Money vers votre compte Ecobank.",Orange Money
"Si j’ai une réclamation à faire, après souscription à cette offre, à qui dois-je m’adresser ?","Si vous avez une réclamation à faire, vous pouvez appeler le 1441 de 8H à 22H (prise en charge directe par le plateau Teranga), vous rendre en agence ou consulter nos sites web www.orange.sn et www.orangebusiness.sn .",Offres mobiles
Comment signaler un vol de portable?,Pour ce type de demandes déposer directement une plainte à la gendarmerie ou à la police. Ces derniers se chargeront de faire la coordination avec nos services compétents.,Entre nous
Combien d’appareils peuvent être connectés avec le modem FUNBOX ORANGE ?,"Vous pouvez connecter jusqu’à une trentaine, toutefois les connexions simultanées réduisent le confort de navigation internet.",Internet et fixe
Comment consulter mes factures à partir d’une autre ligne?,"Avec une autre ligne que celle dont vous souhaitez consulter la facture, composez le numéro du serveur et appuyer sur 4 pour accéder à distance à une autre ligne. Vous devrez introduire le code secret que vous avez personnalisé lors de votre première consultation.",Internet mobile
Quelle est la différence entre l’iPhone 8 et l’iPhone 8 Plus ?,"Principales différences : une puce A11 avec de nouvelles fonctionnalités, la capacité de la mémoire interne du téléphone, la technologie true tone qui adapte l’écran à la luminosité ambiante, la recharge rapide…Plus de détails les fonctionnalités via le lien suivant: http://www.apple.com/fr/iphone/compare/ .",Terminaux et applications
Comment je peux sauvegarder manuellement avec sauvegarde répertoire Orange?,"Vous pouvez faire une sauvegarde manuelle soit:
-Par sms en envoyant « sauve » pour sauvegarder, au 22022 avec un cout de 20f/sms
-Par l’icone orange ou boite à outils disponible sur votre terminal. 
La sauvegarde manuelle vous coûtera 200FRS sur le compteur rechargement",Offres mobiles
Puis-je modifier mon code secret pour sécuriser mes transfert de Pass ?,"Effectivement, vous avez la possibilité de personnaliser votre code secret pour sécuriser votre Pass Internet en utilisant le code court #115# et suivre les instructions.",Offres mobiles
Quelles sont les pièces à fournir pour l'abonnement à un forfait mobile ou à une ligne Teranga,"• Particuliers
1 pièces d’identité au choix CIN, ou passeport ou permis de conduire.
 1 justificatif d’adresse au choix: facture ou contrat d’abonnement eau électricité ou Téranga Téranga de – de 3 mois ou contrat de location ou certificat de résidence ou titre de propriété ou attestation de logement.
• ENTREPRISES
1 pièce d’identité au choix: : Pièce d’identité du représentant + le RC ou récépissé ou attestation de constitution de personne morale. Si vous n’êtes pas encore client chez nous (NA), vous devrez fournir l’original de la pièce que nous vous rendrons après en avoir fait une copie.
 Et 1 justificatif d’adresse au choix: Contrat de location ou de bail, ou titre de propriété ou autorisation d’hébergement",Offres mobiles
"J’ai envoyé un transfert avec code à un client de Expresso, il n’a pas reçu la notification contenant le code.Que faire?",Vous pouvez juste lui transférer le code qui vous a été envoyé après l’opération d’envoi.,Orange Money
"J’ai un numéro Kirène avec Orange, pourrais-je avoir la 4G?","Non, pour le moment la 4G n’est pas encore disponible pour Kirène avec Orange",Internet mobile
